Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s),Sumber,Jumlah Fitur
CLab_R/Gratio,AdaBoost SVM,0.4115913186231415,0.5365325141106613,0.4115913186231415,0.331572752798677,0.389980198019802,0.5224046064118759,0.389980198019802,0.3035341827082165,"R/Gratio, cL, ca, cb",143.4,Gabungan Fitur,4
rgb_HSV_CLab_R/Gratio,AdaBoost SVM,0.4046417001393955,0.4812644672297881,0.4046417001393955,0.3190615235453639,0.389980198019802,0.4583148345513336,0.389980198019802,0.3000926267746572,"r, g, b, R/Gratio, H, S, V, cL, ca, cb",205.03,Gabungan Fitur,10
ADABOOST SVM_MUTUAL_INFO_n_features-14,AdaBoost SVM,0.39925250984753924,0.49327924721652494,0.39925250984753924,0.3154587362445519,0.38892079207920793,0.5055958632812022,0.38892079207920793,0.3032710330082655,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",189.16,Algoritma,14
RGB_rgb_HSV_CLab,AdaBoost SVM,0.3981437813579161,0.5020754189396623,0.3981437813579161,0.3110967476875573,0.3869999999999999,0.458658377182623,0.3869999999999999,0.2955155698663705,"R, G, B, r, g, b, H, S, V, cL, ca, cb",227.46,Gabungan Fitur,12
RGB_HSV_CLab_R/Gratio_G/Bratio,AdaBoost SVM,0.4057532213959948,0.4975634703779276,0.4057532213959948,0.3129644412139182,0.386970297029703,0.4411534795985287,0.386970297029703,0.2880902176357853,"R, G, B, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",154.13,Gabungan Fitur,11
ADABOOST SVM_PCA_n_components-5,AdaBoost SVM,0.40421343539480004,0.5177458149582279,0.40421343539480004,0.32150405925751724,0.3869108910891089,0.45309754523436324,0.3869108910891089,0.2998676924152518,(tidak tersedia),157.85,Algoritma,1
ADABOOST SVM_PCA_n_components-10,AdaBoost SVM,0.4086292856830623,0.4604303035520311,0.4086292856830623,0.3171118064734661,0.3858811881188119,0.40456867948177494,0.3858811881188119,0.291270335357583,(tidak tersedia),161.35,Algoritma,1
RGB_rgb_HSV_CLab_R/Gratio,AdaBoost SVM,0.3912047268188198,0.4529811673393608,0.3912047268188198,0.2990051412439111,0.384970297029703,0.4352270930463324,0.384970297029703,0.2947173282271045,"R, G, B, r, g, b, R/Gratio, H, S, V, cL, ca, cb",187.39,Gabungan Fitur,13
ADABOOST SVM_PCA_n_components-7,AdaBoost SVM,0.3953931487354837,0.4916225108099407,0.3953931487354837,0.3068723380503463,0.38495049504950496,0.4776876548058679,0.38495049504950496,0.29528098142895753,(tidak tersedia),173.76,Algoritma,1
RGB_CLab_R/Gratio_G/Bratio,AdaBoost SVM,0.3972713452394251,0.4864335373371653,0.3972713452394251,0.3089818200038666,0.3849405940594059,0.4589444021525447,0.3849405940594059,0.2943919057386056,"R, G, B, R/Gratio, G/Bratio, cL, ca, cb",187.68,Gabungan Fitur,8
ADABOOST SVM_PCA_n_components-11,AdaBoost SVM,0.397268795321751,0.5129125258059102,0.397268795321751,0.3096717780011983,0.382980198019802,0.47905889481432096,0.382980198019802,0.29464454694744585,(tidak tersedia),159.14,Algoritma,1
ADABOOST SVM_PCA_n_components-13,AdaBoost SVM,0.40068471360781777,0.4774235589405381,0.40068471360781777,0.31408018003345367,0.38295049504950496,0.46086314284367,0.38295049504950496,0.29401694959265334,(tidak tersedia),172.13,Algoritma,1
ADABOOST SVM_PCA_n_components-12,AdaBoost SVM,0.40068471360781777,0.4774235589405381,0.40068471360781777,0.31408018003345367,0.38295049504950496,0.46086314284367,0.38295049504950496,0.29401694959265334,(tidak tersedia),172.38,Algoritma,1
ADABOOST SVM_PCA_n_components-14,AdaBoost SVM,0.40068471360781777,0.4774235589405381,0.40068471360781777,0.31408018003345367,0.38295049504950496,0.46086314284367,0.38295049504950496,0.29401694959265334,(tidak tersedia),174.01,Algoritma,1
Full,AdaBoost SVM,0.3861363404552939,0.4677507428463229,0.3861363404552939,0.2956798130728688,0.381980198019802,0.4628082009952387,0.381980198019802,0.2903374184576403,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",213.31,Gabungan Fitur,14
RGB_rgb_HSV_R/Gratio_G/Bratio,AdaBoost SVM,0.3980306135830471,0.5302377876199786,0.3980306135830471,0.3129716475801126,0.3800792079207921,0.5019252318621655,0.3800792079207921,0.2881532995804975,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V",175.56,Gabungan Fitur,11
RGB_rgb_HSV_CLab_G/Bratio,AdaBoost SVM,0.3974874811184667,0.5046510465842016,0.3974874811184667,0.3109132266226583,0.378980198019802,0.4398025821576022,0.378980198019802,0.2860208892892303,"R, G, B, r, g, b, G/Bratio, H, S, V, cL, ca, cb",179.15,Gabungan Fitur,13
ADABOOST SVM_PCA_n_components-6,AdaBoost SVM,0.3924187304809873,0.5326133601452986,0.3924187304809873,0.30893592013283844,0.37802970297029703,0.5010944181325587,0.37802970297029703,0.2882907277137619,(tidak tersedia),165.02,Algoritma,1
RGB_rgb_CLab_R/Gratio_G/Bratio,AdaBoost SVM,0.3810542331061882,0.4640914764114924,0.3810542331061882,0.284296345903853,0.3651881188118812,0.4016306035389803,0.3651881188118812,0.2625719777869024,"R, G, B, r, g, b, R/Gratio, G/Bratio, cL, ca, cb",177.81,Gabungan Fitur,11
R/Gratio,AdaBoost SVM,0.2903457688366061,0.1735550103273089,0.2903457688366061,0.157454065552602,0.2936237623762376,0.1426883861843432,0.2936237623762376,0.1573316515149497,R/Gratio,158.59,Gabungan Fitur,1
R/Gratio_G/Bratio,AdaBoost SVM,0.2905663974277402,0.1110583167766303,0.2905663974277402,0.1411817860816288,0.2876831683168317,0.1317111855623695,0.2876831683168317,0.1374099979169986,"R/Gratio, G/Bratio",136.78,Gabungan Fitur,2
