Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Processing Time (s),Sumber,Jumlah Fitur
RGB_G/Bratio,ANN,0.7894609474036981,0.7980791197157202,0.7894609474036981,0.7890837272332666,0.7192376237623762,0.7299714974912914,0.7192376237623762,0.7167229418708994,"R, G, B, G/Bratio",25.89,Gabungan Fitur,4
rgb_G/Bratio,ANN,0.7894609474036981,0.7980791197157202,0.7894609474036981,0.7890837272332666,0.7192376237623762,0.7299714974912914,0.7192376237623762,0.7167229418708994,"r, g, b, G/Bratio",25.99,Gabungan Fitur,4
RGB_rgb_HSV_R/Gratio,ANN,0.7953040230415419,0.8061570480680033,0.7953040230415419,0.7951487094604961,0.7192178217821782,0.7303595703678093,0.7192178217821782,0.7180629572284473,"R, G, B, r, g, b, R/Gratio, H, S, V",21.85,Gabungan Fitur,10
ANN_PCA_n_components-10,ANN,0.8059980134927072,0.813692417603237,0.8059980134927072,0.8052605766933592,0.7192079207920792,0.7289974766116079,0.7192079207920792,0.7172177864343923,(tidak tersedia),28.45,Algoritma,1
HSV_G/Bratio,ANN,0.7965177838544071,0.8066098712750238,0.7965177838544071,0.7956183488463002,0.7182772277227724,0.7282104136993555,0.7182772277227724,0.7146513015793574,"G/Bratio, H, S, V",30.05,Gabungan Fitur,4
HSV_CLab_G/Bratio,ANN,0.7939819514398535,0.8033674806480535,0.7939819514398535,0.7935167235239303,0.7182772277227724,0.7279042572281182,0.7182772277227724,0.7158788509174719,"G/Bratio, H, S, V, cL, ca, cb",24.75,Gabungan Fitur,7
HSV_R/Gratio_G/Bratio,ANN,0.7927680692023371,0.8021123227343814,0.7927680692023371,0.7916065049848535,0.7182772277227722,0.7257538582613708,0.7182772277227722,0.7150786930911274,"R/Gratio, G/Bratio, H, S, V",26.72,Gabungan Fitur,5
rgb_HSV_R/Gratio,ANN,0.7967362268018203,0.8058742022638334,0.7967362268018203,0.7964146400849806,0.7182673267326732,0.7237341141991628,0.7182673267326732,0.7157812407263607,"r, g, b, R/Gratio, H, S, V",22.95,Gabungan Fitur,7
RGB_HSV_R/Gratio,ANN,0.7967362268018203,0.8058742022638334,0.7967362268018203,0.7964146400849806,0.7182673267326732,0.7237341141991628,0.7182673267326732,0.7157812407263607,"R, G, B, R/Gratio, H, S, V",23.0,Gabungan Fitur,7
rgb_CLab,ANN,0.7900141581143239,0.8022777606563235,0.7900141581143239,0.7898978773964263,0.7182475247524752,0.7344735360414332,0.7182475247524752,0.716635864407349,"r, g, b, cL, ca, cb",23.74,Gabungan Fitur,6
RGB_CLab,ANN,0.7900141581143239,0.8022777606563235,0.7900141581143239,0.7898978773964263,0.7182475247524752,0.7344735360414332,0.7182475247524752,0.716635864407349,"R, G, B, cL, ca, cb",23.75,Gabungan Fitur,6
