Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features,Sumber,Jumlah Fitur
RGB_CLab,AdaBoost DT,0.6607142857142857,0.6811553330556447,0.6607142857142857,0.6629043562072606,0.5542725173210161,0.56084430733947,0.5542725173210161,0.5510155022003319,"R, G, B, cL, ca, cb",Gabungan Fitur,6
rgb_CLab,AdaBoost DT,0.6607142857142857,0.6811553330556447,0.6607142857142857,0.6629043562072606,0.5542725173210161,0.56084430733947,0.5542725173210161,0.5510155022003319,"r, g, b, cL, ca, cb",Gabungan Fitur,6
Full,AdaBoost DT,0.6607142857142857,0.6897146490063987,0.6607142857142857,0.6652924659655335,0.5519630484988453,0.5691613571987705,0.5519630484988453,0.5538106166071535,"R, G, B, r, g, b, R/Gratio, G/Bratio, H, S, V, cL, ca, cb",Gabungan Fitur,14
CLab_R/Gratio,AdaBoost DT,0.6418650793650794,0.6478797581346909,0.6418650793650794,0.6425375649736306,0.5496535796766744,0.5470357485691613,0.5496535796766744,0.5469916328615075,"R/Gratio, cL, ca, cb",Gabungan Fitur,4
RGB_CLab_R/Gratio_G/Bratio,AdaBoost DT,0.6815476190476191,0.6797512243276252,0.6815476190476191,0.6790490442998589,0.5450346420323325,0.5465322087380251,0.5450346420323325,0.539343267158585,"R, G, B, R/Gratio, G/Bratio, cL, ca, cb",Gabungan Fitur,8
rgb_CLab_R/Gratio_G/Bratio,AdaBoost DT,0.6815476190476191,0.6797512243276252,0.6815476190476191,0.6790490442998589,0.5450346420323325,0.5465322087380251,0.5450346420323325,0.539343267158585,"r, g, b, R/Gratio, G/Bratio, cL, ca, cb",Gabungan Fitur,8
RGB_rgb_R/Gratio,AdaBoost DT,0.6646825396825397,0.6766004181034271,0.6646825396825397,0.6668441122374181,0.5311778290993071,0.5348680801825394,0.5311778290993071,0.5276212466803328,"R, G, B, r, g, b, R/Gratio",Gabungan Fitur,7
RGB_rgb_CLab,AdaBoost DT,0.6597222222222222,0.6645918161469141,0.6597222222222222,0.6612372000221565,0.5311778290993071,0.532099886095798,0.5311778290993071,0.5290023325460096,"R, G, B, r, g, b, cL, ca, cb",Gabungan Fitur,9
CLab,AdaBoost DT,0.6507936507936508,0.6488523027636405,0.6507936507936508,0.6481221018720078,0.5311778290993071,0.5279871788837962,0.5311778290993071,0.526880991198738,"cL, ca, cb",Gabungan Fitur,3
RGB_rgb_CLab_R/Gratio_G/Bratio,AdaBoost DT,0.6478174603174603,0.6596189689939691,0.6478174603174603,0.651389254871731,0.5196304849884527,0.5255408799335269,0.5196304849884527,0.5208489104605973,"R, G, B, r, g, b, R/Gratio, G/Bratio, cL, ca, cb",Gabungan Fitur,11
HSV_CLab_R/Gratio_G/Bratio,AdaBoost DT,0.6448412698412699,0.6583149562300743,0.6448412698412699,0.6462419673129469,0.5103926096997691,0.5165776211774544,0.5103926096997691,0.5085094758432602,"R/Gratio, G/Bratio, H, S, V, cL, ca, cb",Gabungan Fitur,8
RGB,AdaBoost DT,0.5714285714285714,0.5763651871366243,0.5714285714285714,0.5705563523092477,0.4503464203233256,0.45755416034333396,0.4503464203233256,0.45065882374362737,"R, G, B",Gabungan Fitur,3
rgb,AdaBoost DT,0.5714285714285714,0.5763651871366243,0.5714285714285714,0.5705563523092477,0.4503464203233256,0.45755416034333396,0.4503464203233256,0.45065882374362737,"r, g, b",Gabungan Fitur,3
RGB_rgb,AdaBoost DT,0.5714285714285714,0.5763651871366243,0.5714285714285714,0.5705563523092477,0.4503464203233256,0.45755416034333396,0.4503464203233256,0.45065882374362737,"R, G, B, r, g, b",Gabungan Fitur,6
