Feature Group,Model,Train Accuracy,Train Precision,Train Recall,Train F1-Score,Test Accuracy,Test Precision,Test Recall,Test F1-Score,Selected Features
HSV_G/Bratio,Bagging SVM,0.5995062799242316,0.6333525414172543,0.5995062799242316,0.6099471195227276,0.572528735632184,0.6089035081052463,0.572528735632184,0.5824012333772479,"G/Bratio, H, S, V"
HSV_CLab_R/Gratio,Bagging SVM,0.6123833966323043,0.6447880382844552,0.6123833966323043,0.6209350816945328,0.5718199233716476,0.6077965054511715,0.5718199233716476,0.5804207886086644,"R/Gratio, H, S, V, cL, ca, cb"
CLab_G/Bratio,Bagging SVM,0.6005078790561313,0.6337841119719774,0.6005078790561313,0.6085592088647596,0.5711590038314177,0.6097822201527321,0.5711590038314177,0.5795050927646697,"G/Bratio, cL, ca, cb"
CLab,Bagging SVM,0.6027441650722941,0.6377894102132085,0.6027441650722941,0.6110040489121287,0.5704693486590038,0.6121763220420303,0.5704693486590038,0.5790534762696562,"cL, ca, cb"
CLab_R/Gratio_G/Bratio,Bagging SVM,0.6061374420552651,0.634358563740236,0.6061374420552651,0.6140373918023906,0.5676724137931034,0.6005219413196881,0.5676724137931034,0.5758545360214236,"R/Gratio, G/Bratio, cL, ca, cb"
HSV,Bagging SVM,0.5961133598903452,0.6334650102082341,0.5961133598903452,0.60751497086653,0.5669827586206897,0.6069665802549054,0.5669827586206897,0.5775088553037376,"H, S, V"
HSV_R/Gratio,Bagging SVM,0.6002784202861304,0.625428933257708,0.6002784202861304,0.606424157731517,0.5607183908045977,0.5880289487918858,0.5607183908045977,0.566656283972881,"R/Gratio, H, S, V"
HSV_R/Gratio_G/Bratio,Bagging SVM,0.5938784421790076,0.6213319575859036,0.5938784421790076,0.602033567438219,0.5593342911877394,0.5888923436277091,0.5593342911877394,0.5666143677501174,"R/Gratio, G/Bratio, H, S, V"
R/Gratio_G/Bratio,Bagging SVM,0.4893970059110768,0.5033854401475143,0.4893970059110768,0.48966207743192297,0.46840996168582383,0.48338314546048106,0.46840996168582383,0.4674802952859949,"R/Gratio, G/Bratio"
G/Bratio,Bagging SVM,0.43896926192447905,0.43706963497182477,0.43896926192447905,0.4243100600250903,0.4330268199233716,0.43146908168982173,0.4330268199233716,0.41570948828388643,G/Bratio
R/Gratio,Bagging SVM,0.32677933169612683,0.3166655517803345,0.32677933169612683,0.2900492664857757,0.31712643678160923,0.29053787930067876,0.31712643678160923,0.27754101019272825,R/Gratio
